wikiStats|id

redirects|6797
r|Templat:HariIniDalamSejarah/25 November|Templat:Hari Ini Dalam Sejarah/November
r|Templat:Subscription|Templat:Subscription required
r|Templat:McDonnel Douglas MD-82|Templat:McDonnell Douglas MD-82
r|Templat:Wad|Templat:WAD
r|Templat:Wppma/doc|Templat:WPPMA/doc
r|Templat:Kabupaten Nye, Nevada|Templat:Nye County, Nevada
r|Templat:ROM|Templat:ROU
r|Templat:Infobox Korean province|Templat:Infobox korea
r|Templat:IMDb award|Templat:Imdb award
r|Templat:County di as|Templat:County di AS
r|Templat:User film|Templat:Pengguna film
r|Templat:MdsndreamChar|Templat:Karakter Impian di Tengah Musim
r|Templat:MalPM|Templat:Perdana Menteri Malaysia
r|Templat:Convert/LoffAoffDbSoffNa|Templat:Convert/LoffAoffDbSoff
r|Templat:Sistem operasi telepon genggam|Templat:Sistem operasi perangkat bergerak
r|Templat:Infobox Women's Football World Cup|Templat:Kotak info kompetisi sepak bola internasional
r|Templat:Afrika Selatan-stub|Templat:AfrikaSelatan-stub
r|Templat:Pengguna scorpio|Templat:Pengguna Scorpio
r|Templat:Barbour County, Alabama|Templat:County Barbour, Alabama
r|Templat:Navigation|Templat:Navbox
r|Templat:Country data Iceland|Templat:Country data Islandia
r|Templat:Wilayah administratif yunani|Templat:Wilayah Administratif Yunani
r|Templat:Infobox Language/agency|Templat:Infobox Bahasa/agency
r|Templat:HariIniDalamSejarah/24 Februari|Templat:Hari Ini Dalam Sejarah/Februari
r|Templat:Upau, tabalong|Templat:Upau, Tabalong
r|Templat:Seri D/B|Templat:Serie D
r|Templat:Sort name|Templat:Sortname
r|Templat:Mesir kuno-stub|Templat:Mesir Kuno-stub
r|Templat:Infobox OPchara/Header|Templat:Infobox Karakter One Piece Header
r|Templat:HariIniDalamSejarah/9 November|Templat:Hari Ini Dalam Sejarah/November
r|Templat:Topics in Turkey|Templat:Topik Turki
r|Templat:Infobox National Political Convention|Templat:Infobox national political convention
